"phase","name","category","context","section","source","status"
"v0.9.9B5A","Bloco de avanco e contra-ataque em kata","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco de avanco e contra-ataque em kata com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Transicao lenta entre posturas de kata","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Transicao lenta entre posturas de kata com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kata por seccoes com pausa","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kata por seccoes com pausa com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai gedan barai contra agarre simples","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai gedan barai contra agarre simples com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai age uke com saida de linha","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai age uke com saida de linha com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai soto uke e contra-ataque","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bunkai soto uke e contra-ataque com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Entrada e saida em guarda","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Entrada e saida em guarda em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Passo deslizante para frente","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Passo deslizante para frente em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Passo deslizante para tras","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Passo deslizante para tras em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Mudanca de angulo apos ataque","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Mudanca de angulo apos ataque em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Entrada gyaku zuki sem contacto","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Entrada gyaku zuki sem contacto em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Finta de ombro e saida lateral","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Finta de ombro e saida lateral em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Controlo de distancia com marca no chao","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Controlo de distancia com marca no chao em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Reacao visual a comando","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Reacao visual a comando em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kumite sombra com um ataque","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kumite sombra com um ataque em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kumite sombra com defesa e contra","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kumite sombra com defesa e contra em ritmo leve","artes_marciais","karate","kumite tecnico","GOOD_V1_B5A","planned_and_implemented"
