"exercise_name","canonical_id_proposed","category","subcategory","menu_route","equipment","location","primary_muscle","secondary_muscles","joint","goal","priority","reason_to_add","coverage_gap","existing_similar_exercise","duplicate_risk","implementation_decision"
"Remada curvada com barra controlado","remada_curvada_com_barra_controlado","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Barra","ginasio; casa equipada","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","controlar remada curvada sem perder lombar neutra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada curvada com barra com pausa","remada_curvada_com_barra_com_pausa","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Barra","ginasio; casa equipada","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","pausar a remada curvada com escapulas ativas","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada curvada com barra em tempo lento","remada_curvada_com_barra_em_tempo_lento","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Barra","ginasio; casa equipada","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","aumentar controlo na remada curvada com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada unilateral com halter","remada_unilateral_com_halter","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Halter e banco","ginasio; casa equipada","costas medias e dorsais","romboides; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","treinar remada unilateral com apoio","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada unilateral com halter controlado","remada_unilateral_com_halter_controlado","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Halter e banco","ginasio; casa equipada","costas medias e dorsais","romboides; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","controlar remada unilateral sem rodar tronco","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada unilateral com halter com pausa","remada_unilateral_com_halter_com_pausa","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Halter e banco","ginasio; casa equipada","costas medias e dorsais","romboides; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","pausar remada unilateral com escapula controlada","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada unilateral com halter em tempo lento","remada_unilateral_com_halter_em_tempo_lento","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Halter e banco","ginasio; casa equipada","costas medias e dorsais","romboides; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","aumentar controlo na remada unilateral","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press militar com barra controlado","press_militar_com_barra_controlado","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Barra","ginasio; casa equipada","deltoides","triceps; trapezio superior; core","ombro; cotovelo; escapula","controlar press vertical com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press militar com barra com pausa","press_militar_com_barra_com_pausa","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Barra","ginasio; casa equipada","deltoides","triceps; trapezio superior; core","ombro; cotovelo; escapula","pausar press militar com tronco estavel","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press militar com barra em tempo lento","press_militar_com_barra_em_tempo_lento","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Barra","ginasio; casa equipada","deltoides","triceps; trapezio superior; core","ombro; cotovelo; escapula","aumentar controlo no press militar com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press Arnold","press_arnold","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Halteres","ginasio; casa equipada","deltoides","triceps; rotadores externos; trapezio superior","ombro; cotovelo; escapula","treinar press de ombro com rotacao controlada","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press Arnold controlado","press_arnold_controlado","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Halteres","ginasio; casa equipada","deltoides","triceps; rotadores externos; trapezio superior","ombro; cotovelo; escapula","controlar a transicao do press Arnold","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press Arnold com pausa","press_arnold_com_pausa","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Halteres","ginasio; casa equipada","deltoides","triceps; rotadores externos; trapezio superior","ombro; cotovelo; escapula","pausar press Arnold sem encolher ombros","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Press Arnold em tempo lento","press_arnold_em_tempo_lento","musculacao","ombros","Musculacao > Ginasio/Casa > Ombros","Halteres","ginasio; casa equipada","deltoides","triceps; rotadores externos; trapezio superior","ombro; cotovelo; escapula","aumentar controlo no press Arnold","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl biceps com barra","curl_biceps_com_barra","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Barra","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","treinar flexao do cotovelo com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl biceps com barra controlado","curl_biceps_com_barra_controlado","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Barra","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","controlar curl com barra sem balanco","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl biceps com barra com pausa","curl_biceps_com_barra_com_pausa","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Barra","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","pausar curl com barra mantendo cotovelos estaveis","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl biceps com barra em tempo lento","curl_biceps_com_barra_em_tempo_lento","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Barra","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","aumentar controlo no curl com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl alternado com halteres","curl_alternado_com_halteres","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","treinar flexao alternada com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl alternado com halteres controlado","curl_alternado_com_halteres_controlado","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","controlar curl alternado sem rodar tronco","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl alternado com halteres com pausa","curl_alternado_com_halteres_com_pausa","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","pausar curl alternado com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl alternado com halteres em tempo lento","curl_alternado_com_halteres_em_tempo_lento","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","aumentar controlo no curl alternado","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl martelo controlado","curl_martelo_controlado","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","controlar curl martelo com pega neutra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl martelo com pausa","curl_martelo_com_pausa","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","pausar curl martelo sem perder punho neutro","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl martelo em tempo lento","curl_martelo_em_tempo_lento","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","aumentar controlo no curl martelo","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl inclinado no banco","curl_inclinado_no_banco","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres e banco inclinado","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","treinar biceps com ombro em extensao controlada","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl inclinado no banco controlado","curl_inclinado_no_banco_controlado","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres e banco inclinado","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","controlar curl inclinado sem balancar ombros","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl inclinado no banco com pausa","curl_inclinado_no_banco_com_pausa","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres e banco inclinado","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","pausar curl inclinado com cotovelos estaveis","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Curl inclinado no banco em tempo lento","curl_inclinado_no_banco_em_tempo_lento","musculacao","biceps","Musculacao > Ginasio/Casa > Bíceps","Halteres e banco inclinado","ginasio; casa equipada","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","aumentar controlo no curl inclinado","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Suitcase carry unilateral","suitcase_carry_unilateral","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Halteres e espaco livre","ginasio; casa equipada","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","treinar pega unilateral e anti-inclinacao","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Suitcase carry unilateral regressivo","suitcase_carry_unilateral_regressivo","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Halteres e espaco livre","ginasio; casa equipada","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","reduzir distancia e carga no suitcase carry","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Suitcase carry unilateral com pausa curta","suitcase_carry_unilateral_com_pausa_curta","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Halteres e espaco livre","ginasio; casa equipada","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","pausar suitcase carry sem inclinar tronco","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Suitcase carry unilateral em ritmo lento","suitcase_carry_unilateral_em_ritmo_lento","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Halteres e espaco livre","ginasio; casa equipada","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","controlar passos e pega no suitcase carry","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead hang na barra","dead_hang_na_barra","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Barra fixa","ginasio; casa equipada","flexores do antebraco","escapulas; grande dorsal; core","punho; ombro; escapula","treinar suspensao e pega na barra fixa","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead hang na barra regressivo","dead_hang_na_barra_regressivo","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Barra fixa","ginasio; casa equipada","flexores do antebraco","escapulas; grande dorsal; core","punho; ombro; escapula","reduzir duracao da suspensao na barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead hang na barra com pausa curta","dead_hang_na_barra_com_pausa_curta","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Barra fixa","ginasio; casa equipada","flexores do antebraco","escapulas; grande dorsal; core","punho; ombro; escapula","segurar suspensao curta com escapulas controladas","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead hang na barra em ritmo lento","dead_hang_na_barra_em_ritmo_lento","musculacao","antebraco_pegada","Musculacao > Ginasio/Casa > Antebraco e pegada","Barra fixa","ginasio; casa equipada","flexores do antebraco","escapulas; grande dorsal; core","punho; ombro; escapula","entrar e sair da suspensao com controlo","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Pallof press no cabo regressivo","pallof_press_no_cabo_regressivo","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; transverso abdominal; gluteos","coluna; anca; ombro","treinar anti-rotacao com menor alavanca","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Pallof press no cabo com pausa curta","pallof_press_no_cabo_com_pausa_curta","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; transverso abdominal; gluteos","coluna; anca; ombro","pausar Pallof press mantendo tronco estavel","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Pallof press no cabo em ritmo lento","pallof_press_no_cabo_em_ritmo_lento","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; transverso abdominal; gluteos","coluna; anca; ombro","controlar anti-rotacao no Pallof press","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo alto","lenhador_no_cabo_alto","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo alto","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","treinar rotacao controlada do tronco no cabo alto","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo alto regressivo","lenhador_no_cabo_alto_regressivo","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo alto","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","reduzir amplitude no lenhador alto","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo alto com pausa curta","lenhador_no_cabo_alto_com_pausa_curta","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo alto","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","pausar lenhador alto com bacia estavel","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo alto em ritmo lento","lenhador_no_cabo_alto_em_ritmo_lento","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo alto","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","controlar rotacao no lenhador alto","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo baixo","lenhador_no_cabo_baixo","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","treinar rotacao controlada do tronco no cabo baixo","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo baixo regressivo","lenhador_no_cabo_baixo_regressivo","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","reduzir amplitude no lenhador baixo","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo baixo com pausa curta","lenhador_no_cabo_baixo_com_pausa_curta","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","pausar lenhador baixo com bacia estavel","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Lenhador no cabo baixo em ritmo lento","lenhador_no_cabo_baixo_em_ritmo_lento","musculacao","core","Musculacao > Ginasio/Casa > Core","Cabo baixo","ginasio; casa equipada","core anterior","obliquos; dorsais; gluteos","coluna; anca; ombro","controlar rotacao no lenhador baixo","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead bug com carga leve","dead_bug_com_carga_leve","musculacao","core","Musculacao > Ginasio/Casa > Core","Halter leve e tapete","ginasio; casa equipada","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","treinar anti-extensao com carga leve","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead bug com carga leve regressivo","dead_bug_com_carga_leve_regressivo","musculacao","core","Musculacao > Ginasio/Casa > Core","Halter leve e tapete","ginasio; casa equipada","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","reduzir alavanca no dead bug com carga leve","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead bug com carga leve com pausa curta","dead_bug_com_carga_leve_com_pausa_curta","musculacao","core","Musculacao > Ginasio/Casa > Core","Halter leve e tapete","ginasio; casa equipada","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","pausar dead bug mantendo lombar controlada","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Dead bug com carga leve em ritmo lento","dead_bug_com_carga_leve_em_ritmo_lento","musculacao","core","Musculacao > Ginasio/Casa > Core","Halter leve e tapete","ginasio; casa equipada","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","controlar dead bug com carga leve","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
