"phase","name","category","section","priority","source","status"
"v0.9.9B4A","Prancha curta com joelhos com pausa curta","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Prancha curta com joelhos em ritmo lento","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Scapular push-up regressivo","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Scapular push-up regressivo nivel inicial","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Scapular push-up regressivo com pausa curta","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Scapular push-up regressivo em ritmo lento","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Tibial raise na parede leve","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Tibial raise na parede leve regressivo","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Tibial raise na parede leve com pausa curta","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Tibial raise na parede leve em ritmo lento","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Short foot controlado","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Short foot controlado regressivo","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Short foot controlado com pausa curta","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Short foot controlado em ritmo lento","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Elevacao de calcanhar isometrica baixa","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Elevacao de calcanhar isometrica baixa regressivo","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Elevacao de calcanhar isometrica baixa com pausa curta","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Elevacao de calcanhar isometrica baixa em ritmo lento","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Inversao de tornozelo com elastico leve","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Inversao de tornozelo com elastico leve regressivo","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Inversao de tornozelo com elastico leve com pausa curta","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Inversao de tornozelo com elastico leve em ritmo lento","ativacao","tornozelo e pe","P1","GOOD_V1_B4A","planned_and_implemented"
