"id","type_key","before_status","after_status","before_issue","before_result_count","after_result_count","cause","applied_fix"
"mobility>place_home_equipped>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_equipped>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_equipped>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_gym>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","122","121","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_gym>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","122","121","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_gym>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","122","121","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_gym>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","122","121","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_dojo>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_dojo>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_dojo>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_dojo>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_tatami>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_tatami>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_tatami>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_tatami>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_outdoor>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_outdoor>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_outdoor>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_outdoor>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_work_travel>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_work_travel>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_work_travel>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_work_travel>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_clinic>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_clinic>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_clinic>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_clinic>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"recovery>place_home_no_equipment>bodyweight>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>bodyweight>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>bodyweight>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>bodyweight>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>floor>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>floor>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>floor>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>floor>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>wall>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>wall>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>wall>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>wall>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>mat>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>mat>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>mat>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_no_equipment>mat>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>bodyweight>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>bodyweight>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>bodyweight>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>bodyweight>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>floor>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>floor>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>floor>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>floor>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>wall>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>wall>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>wall>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>wall>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>mat>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>mat>light_mobility>light_mobility","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mobilidade torácica, Mobilidade de ombro, Mobilidade de anca, Círculos de ombro, Alongamento posterior do ombro","117","116","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>mat>breathing>breathing","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Respiração 90/90 com costelas baixas","7","6","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_home_equipped>mat>active_recovery>active_recovery","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","9","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
"recovery>place_gym>bodyweight>easy_walk>easy_walk","recovery","failWrongResults","okWithResults","Resultado fora do tipo esperado: Respiração diafragmática, Caminhada leve, Relaxamento deitado, Respiração nasal lenta, Arrefecimento pós-treino de força","9","2","foco de recuperacao demasiado largo","Matriz aplica regras por foco: respiracao, caminhada, mobilidade leve, alongamento leve e recuperacao ativa."
